pri-miRNA	disease	regulation
hsa-mir-145	Urinary Bladder Neoplasms	-1
hsa-mir-145	Urinary Bladder Neoplasms	-1
hsa-mir-145	Urinary Bladder Neoplasms	-1
hsa-mir-148a	Urinary Bladder Neoplasms	-1
hsa-mir-195	Urinary Bladder Neoplasms	-1
hsa-mir-199a	Urinary Bladder Neoplasms	-1
hsa-mir-199a	Urinary Bladder Neoplasms	-1
hsa-mir-199a	Urinary Bladder Neoplasms	-1
hsa-mir-199b	Urinary Bladder Neoplasms	-1
hsa-mir-200c	Urinary Bladder Neoplasms	-1
hsa-mir-204	Urinary Bladder Neoplasms	-1
hsa-mir-30a	Urinary Bladder Neoplasms	-1
hsa-mir-490	Urinary Bladder Neoplasms	-1
hsa-mir-921	Urinary Bladder Neoplasms	-1
hsa-mir-99a	Urinary Bladder Neoplasms	-1
hsa-mir-99a	Urinary Bladder Neoplasms	-1
hsa-mir-99a	Urinary Bladder Neoplasms	-1
hsa-let-7	Breast Neoplasms	-1
hsa-let-7a	Breast Neoplasms	-1
hsa-let-7a	Breast Neoplasms	-1
hsa-let-7a	Breast Neoplasms	-1
hsa-let-7a	Breast Neoplasms	-1
hsa-let-7a	Breast Neoplasms	-1
hsa-let-7b	Breast Neoplasms	-1
hsa-let-7c	Breast Neoplasms	-1
hsa-let-7c	Breast Neoplasms	-1
hsa-let-7d	Breast Neoplasms	-1
hsa-let-7d	Breast Neoplasms	-1
hsa-let-7d	Breast Neoplasms	-1
hsa-let-7e	Breast Neoplasms	-1
hsa-let-7f	Breast Neoplasms	-1
hsa-let-7f	Breast Neoplasms	-1
hsa-let-7f	Breast Neoplasms	-1
hsa-let-7f	Breast Neoplasms	-1
hsa-let-7g	Breast Neoplasms	-1
hsa-let-7g	Breast Neoplasms	-1
hsa-mir-101	Breast Neoplasms	-1
hsa-mir-107	Breast Neoplasms	-1
hsa-mir-107	Breast Neoplasms	-1
hsa-mir-10b	Breast Neoplasms	-1
hsa-mir-10b	Breast Neoplasms	-1
hsa-mir-10b	Breast Neoplasms	-1
hsa-mir-124	Breast Neoplasms	-1
hsa-mir-124	Breast Neoplasms	-1
hsa-mir-124	Breast Neoplasms	-1
hsa-mir-125a	Breast Neoplasms	-1
hsa-mir-125a	Breast Neoplasms	-1
hsa-mir-125a	Breast Neoplasms	-1
hsa-mir-125a	Breast Neoplasms	-1
hsa-mir-125b	Breast Neoplasms	-1
hsa-mir-125b	Breast Neoplasms	-1
hsa-mir-125b	Breast Neoplasms	-1
hsa-mir-125b	Breast Neoplasms	-1
hsa-mir-125b	Breast Neoplasms	-1
hsa-mir-125b	Breast Neoplasms	-1
hsa-mir-125b	Breast Neoplasms	-1
hsa-mir-126	Breast Neoplasms	-1
hsa-mir-126	Breast Neoplasms	-1
hsa-mir-129	Breast Neoplasms	-1
hsa-mir-129	Breast Neoplasms	-1
hsa-mir-132	Breast Neoplasms	-1
hsa-mir-133b	Breast Neoplasms	-1
hsa-mir-139	Breast Neoplasms	-1
hsa-mir-140	Breast Neoplasms	-1
hsa-mir-141	Breast Neoplasms	-1
hsa-mir-141	Breast Neoplasms	-1
hsa-mir-143	Breast Neoplasms	-1
hsa-mir-145	Breast Neoplasms	-1
hsa-mir-145	Breast Neoplasms	-1
hsa-mir-145	Breast Neoplasms	-1
hsa-mir-145	Breast Neoplasms	-1
hsa-mir-146a	Breast Neoplasms	-1
hsa-mir-146a	Breast Neoplasms	-1
hsa-mir-146a	Breast Neoplasms	-1
hsa-mir-146b	Breast Neoplasms	-1
hsa-mir-15	Breast Neoplasms	-1
hsa-mir-16	Breast Neoplasms	-1
hsa-mir-17	Breast Neoplasms	-1
hsa-mir-182	Breast Neoplasms	-1
hsa-mir-182	Breast Neoplasms	-1
hsa-mir-183	Breast Neoplasms	-1
hsa-mir-191	Breast Neoplasms	-1
hsa-mir-1915	Breast Neoplasms	-1
hsa-mir-195	Breast Neoplasms	-1
hsa-mir-199a	Breast Neoplasms	-1
hsa-mir-199b	Breast Neoplasms	-1
hsa-mir-19a	Breast Neoplasms	-1
hsa-mir-19a	Breast Neoplasms	-1
hsa-mir-200	Breast Neoplasms	-1
hsa-mir-200a	Breast Neoplasms	-1
hsa-mir-200a	Breast Neoplasms	-1
hsa-mir-200b	Breast Neoplasms	-1
hsa-mir-200b	Breast Neoplasms	-1
hsa-mir-200c	Breast Neoplasms	-1
hsa-mir-200c	Breast Neoplasms	-1
hsa-mir-200c	Breast Neoplasms	-1
hsa-mir-203a	Breast Neoplasms	-1
hsa-mir-205	Breast Neoplasms	-1
hsa-mir-205	Breast Neoplasms	-1
hsa-mir-206	Breast Neoplasms	-1
hsa-mir-21	Breast Neoplasms	-1
hsa-mir-21	Breast Neoplasms	-1
hsa-mir-210	Breast Neoplasms	-1
hsa-mir-214	Breast Neoplasms	-1
hsa-mir-221	Breast Neoplasms	-1
hsa-mir-221	Breast Neoplasms	-1
hsa-mir-224	Breast Neoplasms	-1
hsa-mir-26b	Breast Neoplasms	-1
hsa-mir-26b	Breast Neoplasms	-1
hsa-mir-27b	Breast Neoplasms	-1
hsa-mir-29b	Breast Neoplasms	-1
hsa-mir-302b	Breast Neoplasms	-1
hsa-mir-302d	Breast Neoplasms	-1
hsa-mir-30b	Breast Neoplasms	-1
hsa-mir-30c	Breast Neoplasms	-1
hsa-mir-335	Breast Neoplasms	-1
hsa-mir-335	Breast Neoplasms	-1
hsa-mir-342	Breast Neoplasms	-1
hsa-mir-342	Breast Neoplasms	-1
hsa-mir-34a	Breast Neoplasms	-1
hsa-mir-34a	Breast Neoplasms	-1
hsa-mir-34a	Breast Neoplasms	-1
hsa-mir-34a	Breast Neoplasms	-1
hsa-mir-34b	Breast Neoplasms	-1
hsa-mir-34c	Breast Neoplasms	-1
hsa-mir-365a	Breast Neoplasms	-1
hsa-mir-365b	Breast Neoplasms	-1
hsa-mir-429	Breast Neoplasms	-1
hsa-mir-450a	Breast Neoplasms	-1
hsa-mir-450a	Breast Neoplasms	-1
hsa-mir-450b	Breast Neoplasms	-1
hsa-mir-451a	Breast Neoplasms	-1
hsa-mir-486	Breast Neoplasms	-1
hsa-mir-497	Breast Neoplasms	-1
hsa-mir-497	Breast Neoplasms	-1
hsa-mir-519d	Breast Neoplasms	-1
hsa-mir-661	Breast Neoplasms	-1
hsa-mir-663a	Breast Neoplasms	-1
hsa-mir-668	Breast Neoplasms	-1
hsa-mir-802	Breast Neoplasms	-1
hsa-mir-922	Breast Neoplasms	-1
hsa-mir-96	Breast Neoplasms	-1
hsa-mir-16	Bronchiolitis Obliterans	-1
hsa-mir-203	Burns	-1
hsa-mir-222	Carcinoma, Adenoid Cystic	-1
hsa-mir-106b	Adrenocortical Carcinoma	-1
hsa-mir-125b	Adrenocortical Carcinoma	-1
hsa-mir-125b	Adrenocortical Carcinoma	-1
hsa-mir-139	Adrenocortical Carcinoma	-1
hsa-mir-148a	Adrenocortical Carcinoma	-1
hsa-mir-195	Adrenocortical Carcinoma	-1
hsa-mir-195	Adrenocortical Carcinoma	-1
hsa-mir-196a	Adrenocortical Carcinoma	-1
hsa-mir-196a	Adrenocortical Carcinoma	-1
hsa-mir-1974	Adrenocortical Carcinoma	-1
hsa-mir-210	Adrenocortical Carcinoma	-1
hsa-mir-301a	Adrenocortical Carcinoma	-1
hsa-mir-301b	Adrenocortical Carcinoma	-1
hsa-mir-376a	Adrenocortical Carcinoma	-1
hsa-mir-376a	Adrenocortical Carcinoma	-1
hsa-mir-376b	Adrenocortical Carcinoma	-1
hsa-mir-376c	Adrenocortical Carcinoma	-1
hsa-mir-424	Adrenocortical Carcinoma	-1
hsa-mir-484	Adrenocortical Carcinoma	-1
hsa-mir-491	Adrenocortical Carcinoma	-1
hsa-mir-497	Adrenocortical Carcinoma	-1
hsa-mir-139	Carcinoma, Basal Cell	-1
hsa-mir-140	Carcinoma, Basal Cell	-1
hsa-mir-145	Carcinoma, Basal Cell	-1
hsa-mir-183	Carcinoma, Basal Cell	-1
hsa-mir-2861	Carcinoma, Basal Cell	-1
hsa-mir-29c	Carcinoma, Basal Cell	-1
hsa-mir-3196	Carcinoma, Basal Cell	-1
hsa-mir-378a	Carcinoma, Basal Cell	-1
hsa-mir-378b	Carcinoma, Basal Cell	-1
hsa-mir-378c	Carcinoma, Basal Cell	-1
hsa-mir-378d	Carcinoma, Basal Cell	-1
hsa-mir-378d	Carcinoma, Basal Cell	-1
hsa-mir-378e	Carcinoma, Basal Cell	-1
hsa-mir-378f	Carcinoma, Basal Cell	-1
hsa-mir-378g	Carcinoma, Basal Cell	-1
hsa-mir-378h	Carcinoma, Basal Cell	-1
hsa-mir-378i	Carcinoma, Basal Cell	-1
hsa-mir-572	Carcinoma, Basal Cell	-1
hsa-mir-638	Carcinoma, Basal Cell	-1
hsa-let-7i	Urinary Bladder Neoplasms	-1
hsa-mir-101	Urinary Bladder Neoplasms	-1
hsa-mir-205	Breast Neoplasms	-1
hsa-mir-409	Breast Neoplasms	-1
hsa-mir-136	Triple Negative Breast Neoplasms	-1
hsa-mir-145	Triple Negative Breast Neoplasms	-1
hsa-mir-195	Triple Negative Breast Neoplasms	-1
hsa-mir-200c	Triple Negative Breast Neoplasms	-1
hsa-mir-1246	Uterine Cervical Neoplasms	-1
hsa-mir-126	Uterine Cervical Neoplasms	-1
hsa-mir-132	Uterine Cervical Neoplasms	-1
hsa-mir-135b	Uterine Cervical Neoplasms	-1
hsa-mir-145	Uterine Cervical Neoplasms	-1
hsa-mir-196a	Uterine Cervical Neoplasms	-1
hsa-mir-212	Uterine Cervical Neoplasms	-1
hsa-mir-218	Uterine Cervical Neoplasms	-1
hsa-mir-218	Uterine Cervical Neoplasms	-1
hsa-mir-26b	Uterine Cervical Neoplasms	-1
hsa-mir-3156	Uterine Cervical Neoplasms	-1
hsa-mir-503	Uterine Cervical Neoplasms	-1
hsa-mir-1295	Carcinoma, Colon	-1
hsa-mir-142	Carcinoma, Colon	-1
hsa-mir-143	Carcinoma, Colon	-1
hsa-mir-21	Carcinoma, Colon	-1
hsa-mir-26a	Carcinoma, Colon	-1
hsa-mir-4478	Carcinoma, Colon	-1
hsa-mir-145	Carcinoma, Endometrioid	-1
hsa-mir-197	Esophageal Neoplasms	-1
hsa-mir-203	Esophageal Neoplasms	-1
hsa-mir-21	Esophageal Neoplasms	-1
hsa-mir-625	Esophageal Neoplasms	-1
hsa-mir-148a	Stomach Neoplasms	-1
hsa-mir-199a	Stomach Neoplasms	-1
hsa-mir-204	Stomach Neoplasms	-1
hsa-mir-224	Stomach Neoplasms	-1
hsa-mir-31	Stomach Neoplasms	-1
hsa-mir-375	Stomach Neoplasms	-1
hsa-mir-939	Stomach Neoplasms	-1
hsa-mir-665	Carcinoma, Signet Ring Cell	-1
hsa-mir-95	Carcinoma, Signet Ring Cell	-1
hsa-let-7a	Carcinoma, Hepatocellular	-1
hsa-let-7c	Carcinoma, Hepatocellular	-1
hsa-let-7c	Carcinoma, Hepatocellular	-1
hsa-let-7g	Carcinoma, Hepatocellular	-1
hsa-mir-1	Carcinoma, Hepatocellular	-1
hsa-mir-106b	Carcinoma, Hepatocellular	-1
hsa-mir-107	Carcinoma, Hepatocellular	-1
