pri-miRNA	disease	regulation
hsa-mir-130a	Stomach Neoplasms	-1
hsa-mir-133b	Stomach Neoplasms	-1
hsa-mir-135a	Stomach Neoplasms	-1
hsa-mir-139	Stomach Neoplasms	-1
hsa-mir-141	Stomach Neoplasms	-1
hsa-mir-141	Stomach Neoplasms	-1
hsa-mir-145	Stomach Neoplasms	-1
hsa-mir-146a	Stomach Neoplasms	-1
hsa-mir-148a	Stomach Neoplasms	-1
hsa-mir-148a	Stomach Neoplasms	-1
hsa-mir-148a	Stomach Neoplasms	-1
hsa-mir-148b	Stomach Neoplasms	-1
hsa-mir-148b	Stomach Neoplasms	-1
hsa-mir-155	Stomach Neoplasms	-1
hsa-mir-155	Stomach Neoplasms	-1
hsa-mir-17	Stomach Neoplasms	-1
hsa-mir-18a	Stomach Neoplasms	-1
hsa-mir-192	Stomach Neoplasms	-1
hsa-mir-193b	Stomach Neoplasms	-1
hsa-mir-195	Stomach Neoplasms	-1
hsa-mir-198	Stomach Neoplasms	-1
hsa-mir-19a	Stomach Neoplasms	-1
hsa-mir-205	Stomach Neoplasms	-1
hsa-mir-206	Stomach Neoplasms	-1
hsa-mir-221	Stomach Neoplasms	-1
hsa-mir-30c	Stomach Neoplasms	-1
hsa-mir-31	Stomach Neoplasms	-1
hsa-mir-328	Stomach Neoplasms	-1
hsa-mir-335	Stomach Neoplasms	-1
hsa-mir-335	Stomach Neoplasms	-1
hsa-mir-34a	Stomach Neoplasms	-1
hsa-mir-370	Stomach Neoplasms	-1
hsa-mir-378a	Stomach Neoplasms	-1
hsa-mir-433	Stomach Neoplasms	-1
hsa-mir-449a	Stomach Neoplasms	-1
hsa-mir-449b	Stomach Neoplasms	-1
hsa-mir-449c	Stomach Neoplasms	-1
hsa-mir-497	Stomach Neoplasms	-1
hsa-mir-504	Stomach Neoplasms	-1
hsa-mir-573	Stomach Neoplasms	-1
hsa-mir-760	Stomach Neoplasms	-1
hsa-let-7g	Gastrointestinal Neoplasms	-1
hsa-mir-126	Gastrointestinal Neoplasms	-1
hsa-mir-146a	Gastrointestinal Neoplasms	-1
hsa-mir-148a	Gastrointestinal Neoplasms	-1
hsa-mir-152	Gastrointestinal Neoplasms	-1
hsa-mir-196a	Gastrointestinal Neoplasms	-1
hsa-mir-196a	Gastrointestinal Neoplasms	-1
hsa-mir-200a	Gastrointestinal Neoplasms	-1
hsa-mir-200a	Gastrointestinal Neoplasms	-1
hsa-mir-200b	Gastrointestinal Neoplasms	-1
hsa-mir-200c	Gastrointestinal Neoplasms	-1
hsa-mir-218	Gastrointestinal Neoplasms	-1
hsa-mir-218	Gastrointestinal Neoplasms	-1
hsa-mir-221	Gastrointestinal Neoplasms	-1
hsa-mir-222	Gastrointestinal Neoplasms	-1
hsa-mir-31	Gastrointestinal Neoplasms	-1
hsa-mir-338	Gastrointestinal Neoplasms	-1
hsa-mir-433	Gastrointestinal Neoplasms	-1
hsa-mir-7	Gastrointestinal Neoplasms	-1
hsa-mir-7	Gastrointestinal Neoplasms	-1
hsa-mir-7	Gastrointestinal Neoplasms	-1
hsa-mir-9	Gastrointestinal Neoplasms	-1
hsa-mir-98	Gastrointestinal Neoplasms	-1
hsa-let-7a	Glioblastoma	-1
hsa-let-7a	Glioblastoma	-1
hsa-let-7a	Glioblastoma	-1
hsa-mir-124	Glioblastoma	-1
hsa-mir-124	Glioblastoma	-1
hsa-mir-124	Glioblastoma	-1
hsa-mir-124	Glioblastoma	-1
hsa-mir-124	Glioblastoma	-1
hsa-mir-124	Glioblastoma	-1
hsa-mir-124	Glioblastoma	-1
hsa-mir-126	Glioblastoma	-1
hsa-mir-1260a	Glioblastoma	-1
hsa-mir-128	Glioblastoma	-1
hsa-mir-128	Glioblastoma	-1
hsa-mir-128	Glioblastoma	-1
hsa-mir-128	Glioblastoma	-1
hsa-mir-128	Glioblastoma	-1
hsa-mir-128	Glioblastoma	-1
hsa-mir-128	Glioblastoma	-1
hsa-mir-128	Glioblastoma	-1
hsa-mir-1305	Glioblastoma	-1
hsa-mir-132	Glioblastoma	-1
hsa-mir-137	Glioblastoma	-1
hsa-mir-137	Glioblastoma	-1
hsa-mir-139	Glioblastoma	-1
hsa-mir-143	Glioblastoma	-1
hsa-mir-145	Glioblastoma	-1
hsa-mir-145	Glioblastoma	-1
hsa-mir-145	Glioblastoma	-1
hsa-mir-181a	Glioblastoma	-1
hsa-mir-181c	Glioblastoma	-1
hsa-mir-203	Glioblastoma	-1
hsa-mir-20a	Glioblastoma	-1
hsa-mir-21	Glioblastoma	-1
hsa-mir-21	Glioblastoma	-1
hsa-mir-219	Glioblastoma	-1
hsa-mir-221	Glioblastoma	-1
hsa-mir-222	Glioblastoma	-1
hsa-mir-222	Glioblastoma	-1
hsa-mir-31	Glioblastoma	-1
hsa-mir-328	Glioblastoma	-1
hsa-mir-34c	Glioblastoma	-1
hsa-mir-451	Glioblastoma	-1
hsa-mir-452	Glioblastoma	-1
hsa-mir-539	Glioblastoma	-1
hsa-mir-7	Glioblastoma	-1
hsa-mir-7	Glioblastoma	-1
hsa-mir-7	Glioblastoma	-1
hsa-mir-7	Glioblastoma	-1
hsa-mir-873	Glioblastoma	-1
hsa-mir-95	Glioblastoma	-1
hsa-mir-107	Glioma	-1
hsa-mir-124	Glioma	-1
hsa-mir-124	Glioma	-1
hsa-mir-132	Glioma	-1
hsa-mir-154	Glioma	-1
hsa-mir-16	Glioma	-1
hsa-mir-16	Glioma	-1
hsa-mir-200b	Glioma	-1
hsa-mir-200b	Glioma	-1
hsa-mir-218	Glioma	-1
hsa-mir-218	Glioma	-1
hsa-mir-218	Glioma	-1
hsa-mir-221	Glioma	-1
hsa-mir-26a	Glioma	-1
hsa-mir-31	Glioma	-1
hsa-mir-320d	Glioma	-1
hsa-mir-326	Glioma	-1
hsa-mir-367	Glioma	-1
hsa-mir-375	Glioma	-1
hsa-mir-378	Glioma	-1
hsa-mir-494	Glioma	-1
hsa-mir-497	Glioma	-1
hsa-mir-504	Glioma	-1
hsa-mir-544a	Glioma	-1
hsa-mir-544b	Glioma	-1
hsa-mir-9	Glioma	-1
hsa-mir-26a	Glomerulonephritis	-1
hsa-mir-372	Abortion, Habitual	-1
hsa-let-7d	Head and Neck Neoplasms	-1
hsa-mir-100	Head and Neck Neoplasms	-1
hsa-mir-100	Head and Neck Neoplasms	-1
hsa-mir-101	Head and Neck Neoplasms	-1
hsa-mir-101	Head and Neck Neoplasms	-1
hsa-mir-107	Head and Neck Neoplasms	-1
hsa-mir-1	Head and Neck Neoplasms	-1
hsa-mir-1	Head and Neck Neoplasms	-1
hsa-mir-130a	Head and Neck Neoplasms	-1
hsa-mir-133a	Head and Neck Neoplasms	-1
hsa-mir-133a	Head and Neck Neoplasms	-1
hsa-mir-141	Head and Neck Neoplasms	-1
hsa-mir-197	Head and Neck Neoplasms	-1
hsa-mir-205	Head and Neck Neoplasms	-1
hsa-mir-26b	Head and Neck Neoplasms	-1
hsa-mir-375	Head and Neck Neoplasms	-1
hsa-mir-375	Head and Neck Neoplasms	-1
hsa-mir-499a	Head and Neck Neoplasms	-1
hsa-mir-95	Head and Neck Neoplasms	-1
hsa-mir-99a	Head and Neck Neoplasms	-1
hsa-mir-107	Heart Diseases	-1
hsa-mir-107	Heart Diseases	-1
hsa-mir-1	Heart Diseases	-1
hsa-mir-1	Heart Diseases	-1
hsa-mir-130b	Heart Diseases	-1
hsa-mir-133a	Heart Diseases	-1
hsa-mir-133a	Heart Diseases	-1
hsa-mir-133b	Heart Diseases	-1
hsa-mir-135a	Heart Diseases	-1
hsa-mir-135a	Heart Diseases	-1
hsa-mir-136	Heart Diseases	-1
hsa-mir-139	Heart Diseases	-1
hsa-mir-142	Heart Diseases	-1
hsa-mir-148a	Heart Diseases	-1
hsa-mir-150	Heart Diseases	-1
hsa-mir-15b	Heart Diseases	-1
hsa-mir-16	Heart Diseases	-1
hsa-mir-16	Heart Diseases	-1
hsa-mir-17	Heart Diseases	-1
hsa-mir-182	Heart Diseases	-1
hsa-mir-186	Heart Diseases	-1
hsa-mir-186	Heart Diseases	-1
hsa-mir-192	Heart Diseases	-1
hsa-mir-195	Heart Diseases	-1
hsa-mir-19b	Heart Diseases	-1
hsa-mir-19b	Heart Diseases	-1
hsa-mir-218	Heart Diseases	-1
hsa-mir-218	Heart Diseases	-1
hsa-mir-22	Heart Diseases	-1
hsa-mir-23a	Heart Diseases	-1
hsa-mir-23b	Heart Diseases	-1
hsa-mir-24	Heart Diseases	-1
hsa-mir-24	Heart Diseases	-1
hsa-mir-26a	Heart Diseases	-1
hsa-mir-26a	Heart Diseases	-1
hsa-mir-27a	Heart Diseases	-1
hsa-mir-296	Heart Diseases	-1
hsa-mir-299	Heart Diseases	-1
hsa-mir-302b	Heart Diseases	-1
hsa-mir-302c	Heart Diseases	-1
hsa-mir-30a	Heart Diseases	-1
hsa-mir-30b	Heart Diseases	-1
hsa-mir-30c	Heart Diseases	-1
hsa-mir-30c	Heart Diseases	-1
hsa-mir-30e	Heart Diseases	-1
hsa-mir-325	Heart Diseases	-1
hsa-mir-339	Heart Diseases	-1
hsa-mir-342	Heart Diseases	-1
hsa-mir-424	Heart Diseases	-1
hsa-mir-452	Heart Diseases	-1
hsa-mir-494	Heart Diseases	-1
hsa-mir-497	Heart Diseases	-1
hsa-mir-499	Heart Diseases	-1
hsa-mir-499a	Heart Diseases	-1
hsa-mir-507	Heart Diseases	-1
hsa-mir-512	Heart Diseases	-1
hsa-mir-512	Heart Diseases	-1
hsa-mir-515	Heart Diseases	-1
hsa-mir-515	Heart Diseases	-1
hsa-mir-520a	Heart Diseases	-1
hsa-mir-520b	Heart Diseases	-1
hsa-mir-520d	Heart Diseases	-1
hsa-mir-520e	Heart Diseases	-1
hsa-mir-520f	Heart Diseases	-1
hsa-mir-520g	Heart Diseases	-1
hsa-mir-520h	Heart Diseases	-1
hsa-mir-523	Heart Diseases	-1
hsa-mir-526a	Heart Diseases	-1
hsa-mir-526a	Heart Diseases	-1
hsa-mir-526b	Heart Diseases	-1
hsa-mir-15a	Hepatitis B	-1
hsa-mir-185	Hepatitis B	-1
hsa-mir-186	Hepatitis B	-1
hsa-mir-221	Hepatitis B	-1
hsa-mir-1	Hepatitis C	-1
hsa-mir-1	Hepatitis C	-1
hsa-mir-124	Hepatitis C	-1
hsa-mir-126	Hepatitis C	-1
hsa-mir-143	Hepatitis C	-1
hsa-mir-16	Hepatitis C	-1
hsa-mir-196a	Hepatitis C	-1
hsa-mir-196a	Hepatitis C	-1
hsa-mir-196b	Hepatitis C	-1
hsa-mir-199a	Hepatitis C	-1
hsa-mir-199a	Hepatitis C	-1
hsa-mir-28	Hepatitis C	-1
hsa-mir-296	Hepatitis C	-1
hsa-mir-30a	Hepatitis C	-1
hsa-mir-30b	Hepatitis C	-1
hsa-mir-30c	Hepatitis C	-1
hsa-mir-30c	Hepatitis C	-1
hsa-mir-30d	Hepatitis C	-1
hsa-mir-342	Hepatitis C	-1
hsa-mir-372	Hepatitis C	-1
hsa-mir-376c	Hepatitis C	-1
hsa-mir-431	Hepatitis C	-1
hsa-mir-448	Hepatitis C	-1
hsa-let-7i	Hepatoblastoma	-1
hsa-mir-145	Hepatoblastoma	-1
hsa-mir-148a	Hepatoblastoma	-1
hsa-mir-199b	Hepatoblastoma	-1
hsa-mir-34a	Hepatoblastoma	-1
hsa-mir-34b	Hepatoblastoma	-1
hsa-mir-34c	Hepatoblastoma	-1
hsa-mir-449b	Hepatoblastoma	-1
hsa-mir-624	Hepatoblastoma	-1
hsa-mir-885	Hepatoblastoma	-1
hsa-mir-205	Telangiectasia, Hereditary Hemorrhagic	-1
hsa-mir-195	Hirschsprung Disease	-1
hsa-mir-206	Hirschsprung Disease	-1
hsa-let-7i	HIV Infections	-1
hsa-mir-150	HIV Infections	-1
hsa-mir-217	HIV Infections	-1
hsa-mir-146a	Papillomaviridae	-1
hsa-mir-146a	Huntington Disease	-1
hsa-mir-19a	Huntington Disease	-1
hsa-mir-135b	Hypertension	-1
hsa-mir-98	Hypertension	-1
hsa-mir-1	Hypertrophy	-1
hsa-mir-1	Hypertrophy	-1
hsa-mir-133a	Hypertrophy	-1
hsa-mir-133a	Hypertrophy	-1
hsa-mir-125	Infection	-1
hsa-mir-129	Infection	-1
hsa-mir-1295a	Infection	-1
hsa-mir-143	Infection	-1
hsa-mir-188	Infection	-1
hsa-mir-363	Infection	-1
hsa-mir-4443	Infection	-1
hsa-mir-6721	Infection	-1
hsa-mir-99b	Infection	-1
hsa-let-7i	Inflammation	-1
hsa-mir-1	Inflammation	-1
hsa-mir-1	Inflammation	-1
hsa-mir-125b	Inflammation	-1
hsa-mir-133a	Inflammation	-1
hsa-mir-133b	Inflammation	-1
hsa-mir-155	Inflammation	-1
hsa-mir-206	Inflammation	-1
hsa-mir-223	Inflammation	-1
hsa-mir-145	Inflammation	-1
hsa-mir-155	Inflammation	-1
hsa-mir-10a	Inflammatory Bowel Diseases	-1
hsa-mir-200	Inflammatory Bowel Diseases	-1
hsa-mir-346	Inflammatory Bowel Diseases	-1
hsa-mir-320a	Cystitis, Interstitial	-1
hsa-mir-320b	Cystitis, Interstitial	-1
hsa-mir-320b	Cystitis, Interstitial	-1
hsa-mir-320c	Cystitis, Interstitial	-1
hsa-mir-320c	Cystitis, Interstitial	-1
hsa-mir-320d	Cystitis, Interstitial	-1
hsa-mir-320d	Cystitis, Interstitial	-1
hsa-mir-328	Cystitis, Interstitial	-1
hsa-mir-449b	Cystitis, Interstitial	-1
hsa-mir-500a	Cystitis, Interstitial	-1
hsa-let-7e	Lung Diseases, Interstitial	-1
hsa-mir-142	Lung Diseases, Interstitial	-1
hsa-mir-19a	Lung Diseases, Interstitial	-1
hsa-mir-27a	Intervertebral Disc Degeneration	-1
hsa-let-7f	Ischemia	-1
hsa-mir-122	Reperfusion Injury	-1
hsa-mir-146a	Reperfusion Injury	-1
hsa-mir-214	Reperfusion Injury	-1
hsa-let-7g	Myocardial Ischemia	-1
hsa-mir-34a	Myocardial Ischemia	-1
hsa-let-7a	Sarcoma, Kaposi	-1
hsa-let-7a	Sarcoma, Kaposi	-1
hsa-let-7a	Sarcoma, Kaposi	-1
hsa-let-7b	Sarcoma, Kaposi	-1
hsa-let-7c	Sarcoma, Kaposi	-1
hsa-let-7d	Sarcoma, Kaposi	-1
hsa-let-7e	Sarcoma, Kaposi	-1
hsa-let-7f	Sarcoma, Kaposi	-1
hsa-let-7f	Sarcoma, Kaposi	-1
hsa-let-7g	Sarcoma, Kaposi	-1
hsa-let-7i	Sarcoma, Kaposi	-1
hsa-mir-221	Sarcoma, Kaposi	-1
hsa-mir-221	Sarcoma, Kaposi	-1
hsa-mir-222	Sarcoma, Kaposi	-1
hsa-mir-222	Sarcoma, Kaposi	-1
hsa-mir-98	Sarcoma, Kaposi	-1
hsa-mir-155	Mucocutaneous Lymph Node Syndrome	-1
hsa-mir-142	Graft Rejection	-1
hsa-mir-133a	Kidney Diseases	-1
hsa-mir-93	Kidney Neoplasms	-1
hsa-mir-10a	Laryngeal Neoplasms	-1
hsa-mir-1	Laryngeal Neoplasms	-1
hsa-mir-1	Laryngeal Neoplasms	-1
hsa-mir-125b	Laryngeal Neoplasms	-1
hsa-mir-125b	Laryngeal Neoplasms	-1
hsa-mir-133a	Laryngeal Neoplasms	-1
hsa-mir-133a	Laryngeal Neoplasms	-1
hsa-mir-144	Laryngeal Neoplasms	-1
hsa-mir-145	Laryngeal Neoplasms	-1
hsa-mir-206	Laryngeal Neoplasms	-1
hsa-mir-375	Laryngeal Neoplasms	-1
hsa-mir-378a	Laryngeal Neoplasms	-1
hsa-mir-384	Laryngeal Neoplasms	-1
hsa-mir-422a	Laryngeal Neoplasms	-1
hsa-mir-486	Laryngeal Neoplasms	-1
hsa-mir-487a	Laryngeal Neoplasms	-1
hsa-mir-141	Helplessness, Learned	-1
hsa-mir-182	Helplessness, Learned	-1
hsa-mir-183	Helplessness, Learned	-1
hsa-mir-200a	Helplessness, Learned	-1
hsa-mir-200b	Helplessness, Learned	-1
hsa-mir-200c	Helplessness, Learned	-1
hsa-mir-429	Helplessness, Learned	-1
hsa-mir-96	Helplessness, Learned	-1
hsa-mir-29	Leiomyoma	-1
hsa-mir-17	Leukemia	-1
hsa-mir-495	Leukemia	-1
hsa-mir-92	Leukemia	-1
hsa-mir-22	Leukemia, Lymphoid	-1
hsa-mir-125b	Leukemia, Lymphocytic, Chronic, B-Cell	-1
hsa-mir-125b	Leukemia, Lymphocytic, Chronic, B-Cell	-1
hsa-mir-15	Leukemia, Lymphocytic, Chronic, B-Cell	-1
hsa-mir-16	Leukemia, Lymphocytic, Chronic, B-Cell	-1
hsa-mir-16	Leukemia, Lymphocytic, Chronic, B-Cell	-1
hsa-mir-16	Leukemia, Lymphocytic, Chronic, B-Cell	-1
hsa-mir-223	Leukemia, Lymphocytic, Chronic, B-Cell	-1
hsa-mir-29c	Leukemia, Lymphocytic, Chronic, B-Cell	-1
hsa-mir-143	Leukemia, Lymphocytic, Chronic, B-Cell	-1
hsa-mir-15a	Leukemia, Lymphocytic, Chronic, B-Cell	-1
hsa-mir-15a	Leukemia, Lymphocytic, Chronic, B-Cell	-1
hsa-mir-16	Leukemia, Lymphocytic, Chronic, B-Cell	-1
hsa-let-7f	Leukemia, Myeloid, Acute	-1
hsa-mir-155	Leukemia, Myeloid, Acute	-1
hsa-mir-27a	Leukemia, Myeloid, Acute	-1
hsa-mir-34c	Leukemia, Myeloid, Acute	-1
hsa-mir-155	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	-1
hsa-mir-155	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	-1
hsa-mir-31	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	-1
hsa-mir-370	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	-1
hsa-mir-564	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	-1
hsa-mir-181a	Leukemia, Promyelocytic, Acute	-1
hsa-mir-17	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	-1
hsa-mir-29a	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	-1
hsa-mir-29b	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	-1
hsa-mir-29b	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	-1
hsa-mir-29c	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	-1
hsa-mir-34a	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	-1
hsa-mir-125b	Lichen Planus	-1
hsa-mir-125b	Lichen Planus	-1
hsa-mir-26b	Lichen Planus	-1
hsa-mir-27b	Lichen Planus	-1
hsa-mir-122	Liver Cirrhosis	-1
hsa-mir-200b	Liver Cirrhosis	-1
hsa-mir-15a	Liver Diseases	-1
hsa-mir-34a	Liver Diseases	-1
hsa-mir-370	Liver Diseases	-1
hsa-mir-22	Liver Neoplasms	-1
hsa-mir-133b	Liver Neoplasms	-1
hsa-mir-148b	Liver Neoplasms	-1
hsa-mir-200a	Liver Neoplasms	-1
hsa-mir-486	Liver Neoplasms	-1
hsa-mir-21	Pulmonary Fibrosis	-1
hsa-let-7a	Lung Neoplasms	-1
hsa-mir-1	Lung Neoplasms	-1
hsa-mir-100	Lung Neoplasms	-1
hsa-mir-101	Lung Neoplasms	-1
hsa-mir-101	Lung Neoplasms	-1
hsa-mir-107	Lung Neoplasms	-1
hsa-mir-107	Lung Neoplasms	-1
hsa-mir-1	Lung Neoplasms	-1
hsa-mir-1	Lung Neoplasms	-1
hsa-mir-1224	Lung Neoplasms	-1
hsa-mir-124	Lung Neoplasms	-1
hsa-mir-124	Lung Neoplasms	-1
hsa-mir-124	Lung Neoplasms	-1
hsa-mir-124	Lung Neoplasms	-1
hsa-mir-125a	Lung Neoplasms	-1
hsa-mir-125b	Lung Neoplasms	-1
hsa-mir-125b	Lung Neoplasms	-1
hsa-mir-126	Lung Neoplasms	-1
hsa-mir-126	Lung Neoplasms	-1
hsa-mir-126	Lung Neoplasms	-1
hsa-mir-126	Lung Neoplasms	-1
hsa-mir-130a	Lung Neoplasms	-1
hsa-mir-130b	Lung Neoplasms	-1
hsa-mir-133b	Lung Neoplasms	-1
hsa-mir-134	Lung Neoplasms	-1
hsa-mir-140	Lung Neoplasms	-1
hsa-mir-142	Lung Neoplasms	-1
hsa-mir-143	Lung Neoplasms	-1
hsa-mir-143	Lung Neoplasms	-1
hsa-mir-143	Lung Neoplasms	-1
hsa-mir-143	Lung Neoplasms	-1
hsa-mir-143	Lung Neoplasms	-1
hsa-mir-145	Lung Neoplasms	-1
hsa-mir-145	Lung Neoplasms	-1
hsa-mir-145	Lung Neoplasms	-1
hsa-mir-145	Lung Neoplasms	-1
hsa-mir-145	Lung Neoplasms	-1
hsa-mir-145	Lung Neoplasms	-1
hsa-mir-145	Lung Neoplasms	-1
hsa-mir-155	Lung Neoplasms	-1
hsa-mir-16	Lung Neoplasms	-1
hsa-mir-181a	Lung Neoplasms	-1
hsa-mir-181a	Lung Neoplasms	-1
hsa-mir-181c	Lung Neoplasms	-1
hsa-mir-181c	Lung Neoplasms	-1
hsa-mir-186	Lung Neoplasms	-1
hsa-mir-18b	Lung Neoplasms	-1
hsa-mir-192	Lung Neoplasms	-1
hsa-mir-193a	Lung Neoplasms	-1
hsa-mir-198	Lung Neoplasms	-1
hsa-mir-199a	Lung Neoplasms	-1
hsa-mir-199b	Lung Neoplasms	-1
hsa-mir-202	Lung Neoplasms	-1
hsa-mir-216a	Lung Neoplasms	-1
hsa-mir-216b	Lung Neoplasms	-1
hsa-mir-218	Lung Neoplasms	-1
hsa-mir-218	Lung Neoplasms	-1
hsa-mir-219	Lung Neoplasms	-1
hsa-mir-223	Lung Neoplasms	-1
hsa-mir-224	Lung Neoplasms	-1
hsa-mir-25	Lung Neoplasms	-1
hsa-mir-26a	Lung Neoplasms	-1
hsa-mir-26a	Lung Neoplasms	-1
hsa-mir-26a	Lung Neoplasms	-1
hsa-mir-26b	Lung Neoplasms	-1
hsa-mir-27b	Lung Neoplasms	-1
hsa-mir-27b	Lung Neoplasms	-1
hsa-mir-29a	Lung Neoplasms	-1
hsa-mir-29a	Lung Neoplasms	-1
hsa-mir-29b	Lung Neoplasms	-1
hsa-mir-29b	Lung Neoplasms	-1
hsa-mir-29b	Lung Neoplasms	-1
hsa-mir-29c	Lung Neoplasms	-1
hsa-mir-29c	Lung Neoplasms	-1
hsa-mir-30a	Lung Neoplasms	-1
hsa-mir-30a	Lung Neoplasms	-1
hsa-mir-30a	Lung Neoplasms	-1
hsa-mir-30a	Lung Neoplasms	-1
hsa-mir-30a	Lung Neoplasms	-1
hsa-mir-30b	Lung Neoplasms	-1
hsa-mir-30b	Lung Neoplasms	-1
hsa-mir-30b	Lung Neoplasms	-1
hsa-mir-30c	Lung Neoplasms	-1
hsa-mir-30c	Lung Neoplasms	-1
hsa-mir-30c	Lung Neoplasms	-1
hsa-mir-30c	Lung Neoplasms	-1
hsa-mir-30d	Lung Neoplasms	-1
hsa-mir-30d	Lung Neoplasms	-1
hsa-mir-30d	Lung Neoplasms	-1
hsa-mir-30e	Lung Neoplasms	-1
hsa-mir-30e	Lung Neoplasms	-1
hsa-mir-32	Lung Neoplasms	-1
hsa-mir-32	Lung Neoplasms	-1
hsa-mir-320	Lung Neoplasms	-1
hsa-mir-33a	Lung Neoplasms	-1
hsa-mir-33a	Lung Neoplasms	-1
hsa-mir-33b	Lung Neoplasms	-1
hsa-mir-34a	Lung Neoplasms	-1
hsa-mir-34a	Lung Neoplasms	-1
hsa-mir-34a	Lung Neoplasms	-1
hsa-mir-34b	Lung Neoplasms	-1
hsa-mir-34b	Lung Neoplasms	-1
hsa-mir-34c	Lung Neoplasms	-1
hsa-mir-34c	Lung Neoplasms	-1
hsa-mir-451	Lung Neoplasms	-1
hsa-mir-451a	Lung Neoplasms	-1
hsa-mir-486	Lung Neoplasms	-1
hsa-mir-486	Lung Neoplasms	-1
hsa-mir-605	Lung Neoplasms	-1
hsa-mir-652	Lung Neoplasms	-1
hsa-mir-663	Lung Neoplasms	-1
hsa-mir-671	Lung Neoplasms	-1
hsa-mir-886	Lung Neoplasms	-1
hsa-mir-9	Lung Neoplasms	-1
hsa-mir-9	Lung Neoplasms	-1
hsa-mir-9	Lung Neoplasms	-1
hsa-mir-939	Lung Neoplasms	-1
hsa-mir-95	Lung Neoplasms	-1
hsa-mir-99a	Lung Neoplasms	-1
hsa-mir-101	Lymphoma	-1
hsa-mir-101	Lymphoma	-1
hsa-mir-125a	Lymphoma	-1
hsa-mir-126	Lymphoma	-1
hsa-mir-133b	Lymphoma	-1
hsa-mir-138	Lymphoma	-1
hsa-mir-138	Lymphoma	-1
hsa-mir-139	Lymphoma	-1
hsa-mir-146a	Lymphoma	-1
hsa-mir-155	Lymphoma	-1
hsa-mir-15a	Lymphoma	-1
hsa-mir-16	Lymphoma	-1
hsa-mir-16	Lymphoma	-1
hsa-mir-16	Lymphoma	-1
hsa-mir-16	Lymphoma	-1
hsa-mir-16	Lymphoma	-1
hsa-mir-21	Lymphoma	-1
hsa-mir-29c	Lymphoma	-1
hsa-mir-345	Lymphoma	-1
hsa-mir-486	Lymphoma	-1
hsa-mir-499a	Lymphoma	-1
hsa-mir-377	Lymphoma, B-Cell	-1
hsa-let-7c	Burkitt Lymphoma	-1
hsa-mir-17	Lymphoma, Large B-Cell, Diffuse	-1
hsa-mir-221	Lymphoma, Large B-Cell, Diffuse	-1
hsa-mir-26b	Lymphoma, Non-Hodgkin	-1
hsa-let-7a	Lymphoma, Primary Effusion	-1
hsa-let-7a	Lymphoma, Primary Effusion	-1
hsa-let-7a	Lymphoma, Primary Effusion	-1
hsa-let-7b	Lymphoma, Primary Effusion	-1
hsa-let-7c	Lymphoma, Primary Effusion	-1
hsa-let-7d	Lymphoma, Primary Effusion	-1
hsa-let-7e	Lymphoma, Primary Effusion	-1
hsa-let-7f	Lymphoma, Primary Effusion	-1
hsa-let-7f	Lymphoma, Primary Effusion	-1
hsa-let-7g	Lymphoma, Primary Effusion	-1
hsa-let-7i	Lymphoma, Primary Effusion	-1
hsa-mir-221	Lymphoma, Primary Effusion	-1
hsa-mir-222	Lymphoma, Primary Effusion	-1
hsa-mir-98	Lymphoma, Primary Effusion	-1
hsa-mir-101	Lymphoma, T-Cell	-1
hsa-mir-101	Lymphoma, T-Cell	-1
hsa-mir-17	Lymphoma, T-Cell	-1
hsa-mir-18a	Lymphoma, T-Cell	-1
hsa-mir-19a	Lymphoma, T-Cell	-1
hsa-mir-19b	Lymphoma, T-Cell	-1
hsa-mir-19b	Lymphoma, T-Cell	-1
hsa-mir-20a	Lymphoma, T-Cell	-1
hsa-mir-26a	Lymphoma, T-Cell	-1
hsa-mir-26a	Lymphoma, T-Cell	-1
hsa-mir-26b	Lymphoma, T-Cell	-1
hsa-mir-92a	Lymphoma, T-Cell	-1
hsa-mir-92a	Lymphoma, T-Cell	-1
hsa-mir-200c	Neoplasms	-1
hsa-mir-106a	Medulloblastoma	-1
hsa-mir-10a	Medulloblastoma	-1
hsa-mir-181c	Medulloblastoma	-1
hsa-mir-181d	Medulloblastoma	-1
hsa-mir-218	Medulloblastoma	-1
hsa-mir-219	Medulloblastoma	-1
hsa-mir-219	Medulloblastoma	-1
hsa-mir-221	Medulloblastoma	-1
hsa-mir-302b	Medulloblastoma	-1
hsa-mir-302d	Medulloblastoma	-1
hsa-mir-31	Medulloblastoma	-1
hsa-mir-373	Medulloblastoma	-1
hsa-mir-383	Medulloblastoma	-1
hsa-mir-483	Medulloblastoma	-1
hsa-mir-504	Medulloblastoma	-1
hsa-mir-9	Medulloblastoma	-1
hsa-mir-92b	Medulloblastoma	-1
hsa-mir-935	Medulloblastoma	-1
