all	coherent	ratio
707	390	1.23028391167
732	379	1.07365439093
650	332	1.04402515723
680	369	1.18649517685
702	357	1.0347826087
730	355	0.946666666667
711	342	0.926829268293
666	334	1.00602409639
706	352	0.994350282486
640	329	1.0578778135
662	340	1.05590062112
673	349	1.07716049383
695	337	0.941340782123
654	331	1.02476780186
692	348	1.01162790698
696	355	1.04105571848
723	373	1.06571428571
654	338	1.06962025316
682	358	1.1049382716
706	357	1.0229226361
722	362	1.00555555556
713	365	1.04885057471
713	368	1.06666666667
706	359	1.03458213256
651	339	1.08653846154
706	337	0.913279132791
662	337	1.03692307692
697	375	1.16459627329
670	344	1.05521472393
694	351	1.02332361516
676	344	1.03614457831
647	343	1.12828947368
727	352	0.938666666667
682	339	0.98833819242
653	334	1.04702194357
684	323	0.894736842105
672	318	0.898305084746
717	366	1.04273504274
690	351	1.03539823009
702	312	0.8
635	337	1.13087248322
647	316	0.954682779456
664	331	0.993993993994
687	348	1.02654867257
642	320	0.993788819876
668	368	1.22666666667
702	346	0.97191011236
667	340	1.03975535168
687	342	0.991304347826
658	345	1.10223642173
669	333	0.991071428571
703	346	0.96918767507
684	346	1.02366863905
697	372	1.14461538462
662	338	1.04320987654
694	365	1.1094224924
667	350	1.10410094637
671	354	1.1167192429
671	352	1.10344827586
706	321	0.833766233766
686	347	1.02359882006
695	351	1.02034883721
707	367	1.07941176471
673	338	1.00895522388
699	340	0.947075208914
703	376	1.1498470948
671	345	1.05828220859
691	345	0.99710982659
683	354	1.07598784195
716	362	1.02259887006
700	367	1.1021021021
655	332	1.02786377709
670	356	1.13375796178
699	360	1.06194690265
681	308	0.825737265416
693	371	1.15217391304
667	331	0.985119047619
691	345	0.99710982659
677	339	1.00295857988
694	335	0.933147632312
708	352	0.988764044944
633	307	0.941717791411
652	305	0.878962536023
657	320	0.949554896142
692	368	1.13580246914
650	333	1.05047318612
666	346	1.08125
669	343	1.05214723926
724	352	0.94623655914
673	338	1.00895522388
691	352	1.0383480826
707	372	1.11044776119
687	365	1.13354037267
678	358	1.11875
700	356	1.03488372093
680	350	1.06060606061
693	343	0.98
663	344	1.07836990596
675	343	1.03313253012
710	346	0.950549450549
690	343	0.988472622478
705	380	1.16923076923
707	351	0.98595505618
636	341	1.15593220339
718	384	1.1497005988
697	381	1.20569620253
711	368	1.07288629738
695	354	1.03812316716
691	338	0.957507082153
677	321	0.901685393258
629	328	1.08970099668
687	347	1.02058823529
717	366	1.04273504274
671	334	0.991097922849
677	334	0.973760932945
718	348	0.940540540541
691	355	1.05654761905
696	357	1.05309734513
652	338	1.07643312102
670	340	1.0303030303
684	364	1.1375
676	343	1.03003003003
737	369	1.0027173913
713	367	1.06069364162
712	368	1.06976744186
660	327	0.981981981982
688	343	0.994202898551
662	340	1.05590062112
680	342	1.01183431953
691	326	0.893150684932
712	371	1.08797653959
702	337	0.923287671233
696	382	1.21656050955
675	338	1.00296735905
700	359	1.05278592375
668	346	1.07453416149
729	368	1.01939058172
673	342	1.0332326284
635	323	1.03525641026
673	323	0.922857142857
637	324	1.03514376997
649	331	1.04088050314
656	315	0.923753665689
674	332	0.970760233918
704	344	0.955555555556
691	365	1.11963190184
713	337	0.896276595745
712	358	1.01129943503
691	352	1.0383480826
677	330	0.951008645533
662	338	1.04320987654
691	363	1.10670731707
687	341	0.985549132948
703	340	0.936639118457
700	363	1.07715133531
718	377	1.10557184751
626	308	0.968553459119
728	364	1.0
705	380	1.16923076923
690	360	1.09090909091
684	358	1.0981595092
714	366	1.05172413793
742	384	1.07262569832
680	330	0.942857142857
683	338	0.979710144928
